Width,Electron density,Negative density,Positive density,O- density,O2- density,CO3- density,CO4- density,CO2+ density,O2+ density,O density,O2 density,O3 density,CO density,C density,CO2e1 density,CO2va density,CO2vb density,CO2vc density,CO2v1a density,CO2v1 density,CO2v2 density,CO2v3 density,CO2v4 density,CO2v5 density,CO2v6 density,CO2v7 density,CO2v8 density,Electric field,Rise rate
0.00257,0.03296,0.0388,0.02176,0.20994,0.29454,0.02883,0.02454,0.02076,0.10029,0.0085,0.01413,1.0009,0.00919,0.0048,0.00316,0.01757,0.02321,0.19888,0.05691,0.03421,0.02141,0.0136,0.00836,0.00597,0.00347,0.00163,0.0061,0.03286,26
0.00514,0.05575,0.06205,0.04782,0.25763,0.21783,0.03117,0.02711,0.04682,0.10035,0.01571,0.02725,1.00181,0.01704,0.0095,0.0062,0.03501,0.04218,0.33433,0.10889,0.06653,0.04172,0.02657,0.01637,0.01174,0.00682,0.00319,0.01171,0.03268,26
0.00771,0.07207,0.0788,0.07057,0.29385,0.16131,0.03327,0.02947,0.06957,0.10038,0.02181,0.04038,1.00271,0.02377,0.01419,0.00918,0.05232,0.05811,0.43152,0.15723,0.0972,0.06113,0.03906,0.02412,0.01737,0.01009,0.00471,0.01706,0.0326,26
0.01029,0.08377,0.09091,0.08688,0.32021,0.11959,0.03525,0.03169,0.08587,0.10055,0.02716,0.0535,1.00362,0.02975,0.01888,0.01212,0.06949,0.07168,0.50055,0.20243,0.12643,0.07978,0.05115,0.03166,0.02289,0.0133,0.00619,0.02225,0.03259,26
0.01286,0.09214,0.09966,0.09749,0.33894,0.08881,0.0372,0.03382,0.09648,0.10086,0.03202,0.06661,1.00452,0.03524,0.02355,0.01504,0.08654,0.08337,0.54842,0.24492,0.15433,0.09776,0.06289,0.03903,0.02832,0.01647,0.00765,0.02731,0.0326,26
0.01543,0.09809,0.10602,0.10418,0.3521,0.06611,0.03917,0.03589,0.10316,0.10124,0.03655,0.07971,1.00543,0.04042,0.02822,0.01793,0.10344,0.09349,0.58042,0.28506,0.181,0.11513,0.07434,0.04627,0.03368,0.0196,0.00909,0.03229,0.03262,26
0.018,0.10233,0.11065,0.10845,0.36135,0.04937,0.04117,0.03796,0.10744,0.10161,0.04088,0.09281,1.00633,0.04538,0.03286,0.02081,0.12021,0.10232,0.60068,0.32319,0.2065,0.13194,0.08553,0.05338,0.03899,0.02271,0.01052,0.03719,0.03263,26
0.02057,0.10534,0.11407,0.11132,0.3679,0.037,0.04324,0.04005,0.1103,0.10193,0.04506,0.10589,1.00724,0.05021,0.03749,0.02368,0.13684,0.11005,0.61248,0.35957,0.23088,0.14822,0.09647,0.06039,0.04424,0.02579,0.01194,0.04205,0.03263,26
0.02314,0.10748,0.11664,0.11335,0.37263,0.02787,0.04539,0.04217,0.11233,0.10219,0.04916,0.11897,1.00814,0.05494,0.0421,0.02654,0.15333,0.11686,0.6185,0.39448,0.25415,0.16401,0.10718,0.0673,0.04945,0.02886,0.01335,0.04687,0.03263,26
0.02571,0.10902,0.11861,0.11489,0.37611,0.02112,0.04763,0.04435,0.11387,0.1024,0.05319,0.13203,1.00903,0.05961,0.04669,0.02939,0.16966,0.12287,0.62098,0.42813,0.27635,0.17931,0.11767,0.07412,0.05462,0.03191,0.01476,0.05165,0.03262,26
