Width,Electron density,Negative density,Positive density,O- density,O2- density,CO3- density,CO4- density,CO2+ density,O2+ density,O density,O2 density,O3 density,CO density,C density,CO2e1 density,CO2va density,CO2vb density,CO2vc density,CO2v1a density,CO2v1 density,CO2v2 density,CO2v3 density,CO2v4 density,CO2v5 density,CO2v6 density,CO2v7 density,CO2v8 density,temper,Electric field,Rise rate
0.002,0.03367,0.03942,0.0185,0.26115,0.31755,0.0281,0.02366,0.0175,0.10036,0.00888,0.0142,1.00114,0.00963,0.00492,0.0032,0.01549,0.02108,0.18754,0.04855,0.02813,0.01838,0.01214,0.00777,0.00575,0.0035,0.00174,0.00676,32.46366,0.03184,28
0.004,0.05899,0.06514,0.0443,0.32986,0.25126,0.03,0.02573,0.04329,0.10053,0.01683,0.0274,1.00228,0.01826,0.00975,0.00629,0.0309,0.03886,0.32489,0.09352,0.05491,0.03595,0.0238,0.01528,0.01133,0.0069,0.00341,0.01309,32.83553,0.03163,28
0.006,0.0787,0.08522,0.07095,0.38466,0.19906,0.03172,0.02766,0.06995,0.10064,0.02379,0.0406,1.00343,0.02588,0.01457,0.00932,0.04622,0.05415,0.43088,0.13598,0.08046,0.05284,0.03508,0.02256,0.01679,0.01024,0.00504,0.01919,32.93223,0.03149,28
0.008,0.09406,0.10093,0.09331,0.42751,0.15775,0.03333,0.02948,0.0923,0.10089,0.02996,0.0538,1.00457,0.03272,0.01938,0.0123,0.06146,0.06745,0.51263,0.1762,0.10495,0.06913,0.04604,0.02967,0.02215,0.01352,0.00664,0.02513,32.95958,0.03144,28
0.01,0.10603,0.11323,0.10998,0.46053,0.12507,0.03487,0.03121,0.10896,0.10143,0.03555,0.067,1.00572,0.03897,0.02419,0.01526,0.07661,0.07913,0.57524,0.21444,0.12847,0.08492,0.05673,0.03664,0.02744,0.01676,0.00822,0.03093,32.95955,0.03143,28
0.012,0.11533,0.12284,0.12169,0.48572,0.09926,0.03639,0.03287,0.12067,0.10224,0.04073,0.08018,1.00686,0.04482,0.02899,0.01819,0.09168,0.08946,0.62261,0.25093,0.15113,0.10025,0.06719,0.04349,0.03267,0.01996,0.00978,0.03664,32.94615,0.03145,28
0.014,0.12253,0.13036,0.12977,0.50487,0.07889,0.0379,0.03449,0.12874,0.10322,0.04561,0.09337,1.008,0.05037,0.03378,0.0211,0.10666,0.09865,0.65788,0.28586,0.17297,0.11517,0.07743,0.05024,0.03784,0.02314,0.01133,0.04227,32.92538,0.03148,28
0.016,0.1281,0.13623,0.13538,0.51941,0.06282,0.03944,0.0361,0.13434,0.10431,0.05027,0.10654,1.00915,0.0557,0.03856,0.02399,0.12155,0.10687,0.68357,0.31942,0.19404,0.12972,0.08749,0.05691,0.04297,0.0263,0.01287,0.04784,32.90019,0.03151,28
0.018,0.13239,0.14084,0.13938,0.53051,0.05014,0.041,0.0377,0.13832,0.10543,0.05477,0.11971,1.01029,0.06087,0.04332,0.02687,0.13636,0.11426,0.70178,0.35176,0.21438,0.14391,0.09738,0.06349,0.04805,0.02944,0.0144,0.05337,32.8722,0.03153,28
0.02,0.13571,0.14448,0.14231,0.53903,0.04012,0.04261,0.03932,0.14124,0.10655,0.05916,0.13287,1.01143,0.06594,0.04807,0.02975,0.15108,0.12093,0.71422,0.38301,0.23401,0.15776,0.10711,0.07,0.05311,0.03256,0.01592,0.05885,32.84235,0.03154,28
