Width,Electron density,Negative density,Positive density,O- density,O2- density,CO3- density,CO4- density,CO2+ density,O2+ density,O density,O2 density,O3 density,CO density,C density,CO2e1 density,CO2va density,CO2vb density,CO2vc density,CO2v1a density,CO2v1 density,CO2v2 density,CO2v3 density,CO2v4 density,CO2v5 density,CO2v6 density,CO2v7 density,CO2v8 density,Electric field,Rise rate
0.003,0.03045,0.03633,0.02206,0.16064,0.2813,0.02929,0.0251,0.02106,0.10018,0.00743,0.01336,1.0007,0.00805,0.0044,0.00296,0.01861,0.02389,0.19805,0.06205,0.03825,0.02316,0.01427,0.00848,0.00589,0.00328,0.00148,0.00534,0.03494,18
0.006,0.04981,0.05619,0.04518,0.18631,0.19773,0.03194,0.02802,0.04418,0.10011,0.01351,0.02572,1.00139,0.01468,0.0087,0.0058,0.03706,0.04311,0.32575,0.1181,0.07429,0.04507,0.02784,0.01658,0.01155,0.00643,0.00288,0.01018,0.0348,18
0.009,0.06259,0.06944,0.06297,0.20627,0.13923,0.03432,0.0307,0.06197,0.09994,0.01858,0.03807,1.00209,0.02032,0.013,0.00859,0.05533,0.05908,0.41247,0.16967,0.10839,0.06596,0.04087,0.02439,0.01707,0.00951,0.00424,0.01479,0.03473,18
0.012,0.07103,0.07833,0.07436,0.22034,0.09823,0.0366,0.03322,0.07336,0.09976,0.02304,0.05041,1.00279,0.02535,0.01728,0.01136,0.07344,0.07254,0.46987,0.21743,0.14076,0.08595,0.05346,0.03199,0.02248,0.01253,0.00557,0.01925,0.03472,18
0.015,0.07659,0.08434,0.08112,0.22981,0.0695,0.03888,0.03565,0.08012,0.09953,0.02714,0.06275,1.00349,0.03002,0.02156,0.01411,0.09136,0.08397,0.50602,0.26195,0.17151,0.10516,0.06566,0.03941,0.0278,0.0155,0.00688,0.02361,0.03471,18
0.018,0.08025,0.08846,0.08513,0.23608,0.04935,0.04121,0.03807,0.08414,0.09919,0.03103,0.07508,1.00419,0.03448,0.02582,0.01684,0.10911,0.09372,0.52697,0.30372,0.20072,0.12363,0.07751,0.04667,0.03305,0.01845,0.00818,0.02788,0.03471,18
0.021,0.08266,0.09134,0.08765,0.24027,0.0352,0.04363,0.04051,0.08667,0.09869,0.03477,0.0874,1.00489,0.0388,0.03006,0.01956,0.12667,0.10208,0.53748,0.34318,0.22842,0.14141,0.08905,0.0538,0.03824,0.02136,0.00946,0.03209,0.03469,18
0.024,0.08425,0.09343,0.08939,0.24312,0.02525,0.04615,0.043,0.08841,0.09805,0.03844,0.0997,1.00558,0.04303,0.03428,0.02228,0.14404,0.10927,0.54136,0.38072,0.25468,0.15854,0.10029,0.06081,0.04337,0.02426,0.01073,0.03626,0.03468,18
0.027,0.08531,0.09501,0.0907,0.24513,0.01825,0.04879,0.04556,0.08973,0.09731,0.04205,0.11199,1.00627,0.04722,0.03848,0.02498,0.16121,0.11547,0.54176,0.41669,0.27949,0.17504,0.11127,0.06771,0.04846,0.02713,0.012,0.0404,0.03465,18
0.03,0.08602,0.09626,0.09179,0.24661,0.01333,0.05156,0.04823,0.09083,0.09652,0.04563,0.12427,1.00696,0.05136,0.04265,0.02768,0.17817,0.12083,0.54139,0.4514,0.3029,0.19093,0.12198,0.0745,0.0535,0.03,0.01326,0.04452,0.03463,18
