Time,Current density,Voltage,Voltage amplitude
1.00E-04,-9.56E-12,0,20
7.00E-04,-9.56E-12,0,20
1.30E-03,-9.56E-12,0.00E+00,20
1.90E-03,-9.56E-12,0,20
2.50E-03,-9.56E-12,0,20
3.10E-03,-9.56E-12,0,20
0.0037,-9.56E-12,0,20
0.0043,-9.56E-12,0,20
0.0049,-9.56E-12,0,20
0.0055,-9.56E-12,0,20
0.0061,-9.56E-12,0,20
0.0067,-9.56E-12,0,20
0.0073,-9.56E-12,0,20
0.0079,-9.56E-12,0,20
0.0085,-9.56E-12,0,20
0.0091,-9.56E-12,0,20
0.0097,-9.56E-12,0,20
0.0103,-9.56E-12,0,20
0.0109,-9.56E-12,0,20
0.0115,-9.56E-12,0,20
0.0121,-9.56E-12,0,20
0.0127,-9.56E-12,0,20
0.0133,-9.56E-12,0,20
0.0139,-9.56E-12,0,20
0.0145,-9.56E-12,0,20
0.0151,-9.56E-12,0,20
0.0157,-9.56E-12,0,20
0.0163,-9.56E-12,0,20
0.0169,-9.56E-12,0,20
0.0175,-9.56E-12,0,20
0.0181,-9.56E-12,0,20
0.0187,-9.56E-12,0,20
0.0193,-9.56E-12,0,20
0.0199,-9.57E-12,0,20
0.0205,-9.57E-12,0,20
0.0211,-9.57E-12,0,20
0.0217,-9.57E-12,0,20
0.0223,-9.57E-12,0,20
0.0229,-9.57E-12,0,20
0.0235,-9.57E-12,0,20
0.0241,-9.57E-12,0,20
0.0247,-9.57E-12,0,20
0.0253,-9.57E-12,0,20
0.0259,-9.57E-12,0,20
0.0265,-9.57E-12,0,20
0.0271,-9.57E-12,0,20
0.0277,-9.57E-12,0,20
0.0283,-9.57E-12,0,20
0.0289,-9.57E-12,0,20
0.0295,-9.57E-12,0,20
0.0301,-9.57E-12,0,20
0.0307,-9.57E-12,0,20
0.0313,-9.57E-12,0,20
0.0319,-9.57E-12,0,20
0.0325,-9.57E-12,0,20
0.0331,-9.57E-12,0,20
0.0337,-9.57E-12,0,20
0.0343,-9.57E-12,0,20
0.0349,-9.57E-12,0,20
0.0355,-9.57E-12,0,20
0.0361,-9.57E-12,0,20
0.0367,-9.57E-12,0,20
0.0373,-9.57E-12,0,20
0.0379,-9.57E-12,0,20
0.0385,-9.57E-12,0,20
0.0391,-9.57E-12,0,20
0.0397,-9.57E-12,0,20
0.0403,-9.57E-12,0,20
0.0409,-9.57E-12,0,20
0.0415,-9.57E-12,0,20
0.0421,-9.57E-12,0,20
0.0427,-9.57E-12,0,20
0.0433,-9.57E-12,0,20
0.0439,-9.57E-12,0,20
0.0445,-9.57E-12,0,20
0.0451,-9.57E-12,0,20
0.0457,-9.57E-12,0,20
0.0463,-9.57E-12,0,20
0.0469,-9.57E-12,0,20
0.0475,-9.57E-12,0,20
0.0481,-9.57E-12,0,20
0.0487,-9.57E-12,0,20
4.93E-02,-9.57E-12,0,20
4.99E-02,-9.57E-12,0,20
5.02E-02,0.05346,4.2,20
5.04E-02,0.05372,8.4,20
5.06E-02,0.05399,12.6,20
5.08E-02,0.05426,16.8,20
0.051,0.05453,21,20
0.0512,0.0548,25.2,20
0.0515,0.05507,29.4,20
0.0517,0.05534,33.6,20
0.0519,0.05561,37.8,20
0.0521,0.05587,42,20
0.0523,0.05614,46.2,20
0.0525,0.05641,50.4,20
0.0527,0.05668,54.6,20
0.0529,0.05695,58.8,20
0.0531,0.05722,63,20
0.0533,0.05749,67.2,20
0.0536,0.05776,71.4,20
0.0538,0.05804,75.6,20
0.054,0.05831,79.8,20
0.0542,0.05859,84,20
0.0544,0.05887,88.2,20
0.0546,0.05915,92.4,20
0.0548,0.05944,96.6,20
0.055,0.05973,100.8,20
0.0552,0.06002,105,20
0.0554,0.06032,109.2,20
0.0557,0.06063,113.4,20
0.0559,0.06094,117.6,20
0.0561,0.06127,121.8,20
0.0563,0.0616,126,20
0.0565,0.06194,130.2,20
0.0567,0.06228,134.4,20
0.0569,0.06264,138.6,20
0.0571,0.06301,142.8,20
0.0573,0.0634,147,20
0.0575,0.06379,151.2,20
0.0578,0.0642,155.4,20
0.058,0.06462,159.6,20
0.0582,0.06506,163.8,20
0.0584,0.06551,168,20
0.0586,0.06597,172.2,20
0.0588,0.06645,176.4,20
0.059,0.06694,180.6,20
0.0592,0.06744,184.8,20
0.0594,0.06796,189,20
0.0596,0.0685,193.2,20
0.0599,0.06906,197.4,20
0.0601,0.06963,201.6,20
0.0603,0.07022,205.8,20
0.0605,0.07082,210,20
0.0607,0.07145,214.2,20
0.0609,0.0721,218.4,20
0.0611,0.07277,222.6,20
0.0613,0.07346,226.8,20
0.0615,0.07417,231,20
0.0617,0.07491,235.2,20
0.062,0.07567,239.4,20
0.0622,0.07646,243.6,20
0.0624,0.07728,247.8,20
0.0626,0.07812,252,20
0.0628,0.07899,256.2,20
0.063,0.07989,260.4,20
0.0632,0.08082,264.6,20
0.0634,0.08179,268.8,20
0.0636,0.08279,273,20
0.0638,0.08383,277.2,20
0.0641,0.0849,281.4,20
0.0643,0.08601,285.6,20
0.0645,0.08716,289.8,20
0.0647,0.08836,294,20
0.0649,0.0896,298.2,20
