Time,Current density,Voltage,Voltage amplitude
8.01E-14,-1.11E-13,0,15.8
4.00E-04,-1.11E-13,0,15.8
8.00E-04,-1.11E-13,0,15.8
0.0012,-1.11E-13,0,15.8
0.0016,-1.11E-13,0,15.8
0.002,-1.11E-13,0,15.8
0.0024,-1.11E-13,0,15.8
0.0028,-1.11E-13,0,15.8
0.0032,-1.11E-13,0,15.8
0.0036,-1.11E-13,0,15.8
0.004,-1.11E-13,0,15.8
0.0044,-1.11E-13,0,15.8
0.0048,-1.11E-13,0,15.8
0.0052,-1.11E-13,0,15.8
0.0056,-1.11E-13,0,15.8
0.006,-1.11E-13,0,15.8
0.0064,-1.11E-13,0,15.8
0.0068,-1.11E-13,0,15.8
0.0072,-1.11E-13,0,15.8
0.0076,-1.11E-13,0,15.8
0.008,-1.11E-13,0,15.8
0.0084,-1.11E-13,0,15.8
0.0088,-1.11E-13,0,15.8
0.0092,-1.11E-13,0,15.8
0.0096,-1.11E-13,0,15.8
0.01,-1.11E-13,0,15.8
0.0104,-1.11E-13,0,15.8
0.0108,-1.11E-13,0,15.8
0.0112,-1.11E-13,0,15.8
0.0116,-1.11E-13,0,15.8
0.012,-1.11E-13,0,15.8
0.0124,-1.11E-13,0,15.8
0.0128,-1.11E-13,0,15.8
0.0132,-1.11E-13,0,15.8
0.0136,-1.11E-13,0,15.8
0.014,-1.11E-13,0,15.8
0.0144,-1.11E-13,0,15.8
0.0148,-1.11E-13,0,15.8
0.0152,-1.11E-13,0,15.8
0.0156,-1.11E-13,0,15.8
0.016,-1.11E-13,0,15.8
0.0164,-1.11E-13,0,15.8
0.0168,-1.11E-13,0,15.8
0.0172,-1.11E-13,0,15.8
0.0176,-1.11E-13,0,15.8
0.018,-1.11E-13,0,15.8
0.0184,-1.11E-13,0,15.8
0.0188,-1.11E-13,0,15.8
0.0192,-1.11E-13,0,15.8
0.0196,-1.11E-13,0,15.8
0.02,-1.11E-13,0,15.8
0.0204,-1.11E-13,0,15.8
0.0208,-1.11E-13,0,15.8
0.0212,-1.11E-13,0,15.8
0.0216,-1.11E-13,0,15.8
0.022,-1.11E-13,0,15.8
0.0224,-1.11E-13,0,15.8
