Width,Electron density,Negative density,Positive density,O- density,O2- density,CO3- density,CO4- density,CO2+ density,O2+ density,O density,O2 density,O3 density,CO density,C density,CO2e1 density,CO2va density,CO2vb density,CO2vc density,CO2v1a density,CO2v1 density,CO2v2 density,CO2v3 density,CO2v4 density,CO2v5 density,CO2v6 density,CO2v7 density,CO2v8 density,Electric field,Rise rate
0.0036,0.03088,0.03685,0.02394,0.14406,0.26694,0.02981,0.02572,0.02294,0.1001,0.00737,0.01401,1.00065,0.00799,0.00453,0.00312,0.02113,0.02671,0.21538,0.07143,0.04479,0.02664,0.01613,0.0094,0.00641,0.00348,0.00153,0.00541,0.03612,26
0.0072,0.04865,0.05519,0.04586,0.16003,0.17495,0.03291,0.02913,0.04486,0.09985,0.01315,0.02701,1.00129,0.01434,0.00896,0.00611,0.04203,0.04763,0.34491,0.13496,0.08668,0.05167,0.03138,0.01832,0.01255,0.00682,0.00297,0.01028,0.03598,26
0.0108,0.05926,0.06634,0.0605,0.17336,0.11496,0.03569,0.03224,0.0595,0.09941,0.01794,0.04001,1.00194,0.0197,0.01339,0.00907,0.06269,0.06461,0.42569,0.19256,0.12602,0.07537,0.04595,0.02691,0.01852,0.01006,0.00437,0.0149,0.03592,26
0.0144,0.0656,0.07322,0.06878,0.18238,0.0758,0.03842,0.03519,0.06779,0.09878,0.02219,0.053,1.00259,0.02453,0.0178,0.01199,0.0831,0.07856,0.47327,0.24525,0.16304,0.09792,0.05996,0.03523,0.02437,0.01324,0.00574,0.01936,0.03589,26
0.018,0.06939,0.07756,0.07328,0.18806,0.05022,0.04121,0.03809,0.07231,0.09791,0.02616,0.06598,1.00324,0.02908,0.02219,0.0149,0.10325,0.09009,0.49834,0.29389,0.19785,0.11943,0.07348,0.04333,0.03011,0.01638,0.00708,0.02371,0.03586,26
0.0216,0.07167,0.0804,0.07589,0.19159,0.03346,0.0441,0.04101,0.07492,0.09677,0.02997,0.07895,1.00388,0.03346,0.02657,0.0178,0.12314,0.09967,0.5089,0.33923,0.23054,0.13997,0.08655,0.05124,0.03576,0.01948,0.00841,0.02798,0.03583,26
0.0252,0.07304,0.08237,0.0776,0.19385,0.02247,0.04715,0.04401,0.07665,0.09539,0.03368,0.09189,1.00452,0.03776,0.03092,0.02068,0.14276,0.10765,0.51116,0.38194,0.26114,0.15958,0.09922,0.05899,0.04135,0.02255,0.00972,0.03219,0.03579,26
0.0288,0.07388,0.08385,0.0789,0.19537,0.01525,0.05037,0.04713,0.07796,0.09384,0.03735,0.10482,1.00516,0.042,0.03524,0.02356,0.16209,0.1143,0.51021,0.4226,0.28972,0.17831,0.11151,0.06659,0.04686,0.0256,0.01103,0.03637,0.03575,26
0.0324,0.07442,0.08504,0.08001,0.19646,0.01051,0.05378,0.0504,0.07909,0.09223,0.04098,0.11773,1.0058,0.04621,0.03953,0.02642,0.18113,0.11988,0.51014,0.46171,0.31629,0.19619,0.12345,0.07405,0.05232,0.02863,0.01233,0.04052,0.0357,26
0.036,0.07477,0.0861,0.08103,0.19729,0.00741,0.05742,0.05385,0.08012,0.09069,0.04459,0.1306,1.00644,0.0504,0.04378,0.02927,0.19988,0.12455,0.51306,0.49958,0.34092,0.21325,0.13504,0.08139,0.05773,0.03164,0.01362,0.04466,0.03566,26
0.0396,0.07502,0.0871,0.08202,0.19798,0.0054,0.06128,0.05748,0.08113,0.08935,0.04819,0.14345,1.00707,0.05457,0.048,0.03211,0.21834,0.12849,0.51847,0.53626,0.36374,0.22954,0.14631,0.08861,0.06309,0.03463,0.01491,0.04877,0.03561,26
0.0432,0.07519,0.08807,0.083,0.19858,0.00411,0.0654,0.06134,0.08212,0.08833,0.05177,0.15627,1.0077,0.05873,0.05217,0.03494,0.23651,0.13181,0.52566,0.57173,0.38484,0.24508,0.15726,0.09571,0.06839,0.03761,0.0162,0.05288,0.03557,26
0.0468,0.07534,0.08906,0.084,0.19913,0.0033,0.0698,0.06543,0.08312,0.08775,0.05535,0.16905,1.00832,0.06287,0.05629,0.03775,0.25439,0.13464,0.53401,0.606,0.40434,0.25991,0.1679,0.10269,0.07364,0.04057,0.01748,0.05696,0.03552,26
0.0504,0.07545,0.09008,0.08501,0.19965,0.00283,0.07448,0.06977,0.08414,0.08771,0.05891,0.1818,1.00894,0.06701,0.06037,0.04054,0.27199,0.13706,0.54308,0.63908,0.42235,0.27406,0.17824,0.10956,0.07883,0.04351,0.01876,0.06104,0.03548,26
0.054,0.07556,0.09115,0.08606,0.20015,0.00259,0.07948,0.07438,0.08517,0.08829,0.06246,0.19451,1.00956,0.07113,0.06439,0.04332,0.28931,0.13915,0.5525,0.67096,0.43894,0.28755,0.18828,0.1163,0.08396,0.04644,0.02003,0.0651,0.03543,26
0.0576,0.07566,0.09227,0.08713,0.20064,0.0025,0.0848,0.07927,0.08623,0.08957,0.066,0.20717,1.01017,0.07523,0.06835,0.04608,0.30635,0.14096,0.56201,0.70166,0.45421,0.30043,0.19803,0.12293,0.08904,0.04935,0.0213,0.06915,0.03539,26
0.0612,0.07575,0.09345,0.08824,0.20114,0.00253,0.09046,0.08446,0.08732,0.09161,0.06953,0.21979,1.01078,0.07933,0.07225,0.04883,0.32312,0.14254,0.57141,0.73118,0.46824,0.31269,0.2075,0.12944,0.09406,0.05224,0.02256,0.07319,0.03534,26
0.0648,0.07584,0.09469,0.08939,0.20163,0.00264,0.09648,0.08995,0.08844,0.09445,0.07305,0.23236,1.01138,0.08341,0.07608,0.05155,0.3396,0.14393,0.58055,0.75954,0.4811,0.32438,0.21669,0.13582,0.09901,0.05511,0.02382,0.07721,0.03529,26
0.0684,0.07594,0.096,0.09058,0.20214,0.00281,0.10287,0.09575,0.0896,0.09812,0.07656,0.24489,1.01198,0.08747,0.07985,0.05425,0.35582,0.14518,0.58933,0.78674,0.49287,0.33551,0.22561,0.1421,0.1039,0.05796,0.02507,0.08123,0.03524,26
0.072,0.07603,0.09739,0.09181,0.20265,0.00304,0.10963,0.10186,0.09079,0.10265,0.08006,0.25735,1.01257,0.09152,0.08354,0.05693,0.37176,0.1463,0.59767,0.81281,0.50361,0.34609,0.23425,0.14825,0.10873,0.06078,0.02632,0.08523,0.03518,26
0.0756,0.07613,0.09885,0.0931,0.20318,0.00331,0.11677,0.10829,0.09202,0.10807,0.08354,0.26977,1.01315,0.09556,0.08717,0.05959,0.38744,0.14732,0.60552,0.83776,0.51338,0.35616,0.24263,0.15428,0.11349,0.06359,0.02756,0.08922,0.03512,26
0.0792,0.07624,0.10038,0.09443,0.20372,0.00361,0.12429,0.11503,0.09329,0.11436,0.08701,0.28212,1.01373,0.09957,0.09071,0.06223,0.40284,0.14826,0.61286,0.86161,0.52225,0.36572,0.25074,0.16019,0.11818,0.06638,0.0288,0.09319,0.03506,26
0.0828,0.07635,0.10199,0.09581,0.20429,0.00396,0.13219,0.12208,0.0946,0.12155,0.09046,0.29442,1.01431,0.10357,0.09417,0.06484,0.41798,0.14913,0.61966,0.88438,0.53026,0.37479,0.2586,0.16598,0.12281,0.06914,0.03003,0.09716,0.03499,26
0.0864,0.07648,0.10367,0.09725,0.20487,0.00433,0.14046,0.12942,0.09596,0.12962,0.0939,0.30665,1.01487,0.10756,0.09756,0.06743,0.43286,0.14994,0.62593,0.90609,0.53747,0.38339,0.26621,0.17165,0.12737,0.07187,0.03125,0.10112,0.03491,26
0.09,0.07661,0.10543,0.09874,0.20548,0.00474,0.14909,0.13705,0.09736,0.13857,0.09733,0.31882,1.01543,0.11152,0.10085,0.06999,0.44747,0.15071,0.63166,0.92676,0.54393,0.39154,0.27356,0.1772,0.13186,0.07459,0.03247,0.10506,0.03483,26
0.0936,0.07675,0.10726,0.10029,0.20612,0.00517,0.15807,0.14493,0.0988,0.14839,0.10074,0.33091,1.01599,0.11546,0.10407,0.07253,0.46182,0.15143,0.63688,0.94642,0.54969,0.39925,0.28067,0.18263,0.13627,0.07728,0.03369,0.10899,0.03475,26
0.0972,0.07691,0.10917,0.10188,0.20678,0.00564,0.16738,0.15306,0.10029,0.15907,0.10413,0.34294,1.01653,0.11939,0.10719,0.07504,0.47591,0.15212,0.64159,0.96508,0.55479,0.40653,0.28754,0.18793,0.14062,0.07994,0.0349,0.11292,0.03465,26
0.1008,0.07708,0.11113,0.10353,0.20748,0.00613,0.17699,0.16141,0.10183,0.17058,0.10751,0.3549,1.01708,0.1233,0.11022,0.07752,0.48974,0.15278,0.64581,0.98277,0.55926,0.4134,0.29418,0.19312,0.14489,0.08258,0.0361,0.11683,0.03455,26
0.1044,0.07726,0.11316,0.10523,0.20821,0.00665,0.18688,0.16994,0.1034,0.18292,0.11087,0.36678,1.01761,0.12718,0.11316,0.07997,0.50332,0.15341,0.64957,0.99953,0.56316,0.41988,0.30058,0.19818,0.14909,0.08519,0.03729,0.12073,0.03445,26
0.108,0.07746,0.11524,0.10698,0.20897,0.0072,0.19703,0.17862,0.10502,0.19605,0.11422,0.37859,1.01813,0.13104,0.11601,0.0824,0.51665,0.15401,0.65288,1.01537,0.56651,0.42598,0.30675,0.20313,0.15322,0.08778,0.03848,0.12462,0.03433,26
0.1116,0.07768,0.11738,0.10878,0.20976,0.00778,0.20739,0.18743,0.10668,0.20996,0.11754,0.39031,1.01865,0.13488,0.11876,0.0848,0.52973,0.1546,0.65577,1.03032,0.56935,0.43172,0.3127,0.20795,0.15727,0.09033,0.03966,0.12849,0.03421,26
0.1152,0.07791,0.11956,0.11062,0.21059,0.00838,0.21793,0.19631,0.10837,0.2246,0.12085,0.40196,1.01916,0.1387,0.12142,0.08717,0.54256,0.15516,0.65827,1.0444,0.57172,0.4371,0.31843,0.21266,0.16125,0.09286,0.04084,0.13236,0.03408,26
0.1188,0.07816,0.12177,0.1125,0.21146,0.00901,0.22862,0.20524,0.1101,0.23996,0.12413,0.41352,1.01967,0.1425,0.12399,0.08951,0.55515,0.15571,0.66039,1.05766,0.57364,0.44214,0.32395,0.21725,0.16516,0.09536,0.04201,0.13621,0.03395,26
0.1224,0.07843,0.12401,0.11441,0.21236,0.00966,0.23941,0.21417,0.11185,0.25598,0.1274,0.42499,1.02016,0.14627,0.12646,0.09182,0.56749,0.15623,0.66216,1.0701,0.57515,0.44685,0.32926,0.22172,0.16899,0.09784,0.04317,0.14006,0.0338,26
