Time,Current density,Voltage,Voltage amplitude
1.00E-04,-8.72E-12,0,18
7.00E-04,-8.72E-12,0,18
1.30E-03,-8.72E-12,0,18
1.90E-03,-8.72E-12,0.00E+00,18
2.50E-03,-8.72E-12,0,18
3.10E-03,-8.72E-12,0,18
3.70E-03,-8.72E-12,0,18
0.0043,-8.72E-12,0,18
0.0049,-8.72E-12,0,18
0.0055,-8.72E-12,0,18
0.0061,-8.72E-12,0,18
0.0067,-8.72E-12,0,18
0.0073,-8.72E-12,0,18
0.0079,-8.72E-12,0,18
0.0085,-8.72E-12,0,18
0.0091,-8.73E-12,0,18
0.0097,-8.73E-12,0,18
0.0103,-8.73E-12,0,18
0.0109,-8.73E-12,0,18
0.0115,-8.73E-12,0,18
0.0121,-8.73E-12,0,18
0.0127,-8.73E-12,0,18
0.0133,-8.73E-12,0,18
0.0139,-8.73E-12,0,18
0.0145,-8.73E-12,0,18
0.0151,-8.73E-12,0,18
0.0157,-8.73E-12,0,18
0.0163,-8.73E-12,0,18
0.0169,-8.73E-12,0,18
0.0175,-8.73E-12,0,18
0.0181,-8.73E-12,0,18
0.0187,-8.73E-12,0,18
0.0193,-8.73E-12,0,18
0.0199,-8.73E-12,0,18
0.0205,-8.73E-12,0,18
0.0211,-8.73E-12,0,18
0.0217,-8.73E-12,0,18
0.0223,-8.73E-12,0,18
0.0229,-8.73E-12,0,18
0.0235,-8.73E-12,0,18
0.0241,-8.73E-12,0,18
0.0247,-8.73E-12,0,18
0.0253,-8.73E-12,0,18
0.0259,-8.73E-12,0,18
0.0265,-8.73E-12,0,18
0.0271,-8.73E-12,0,18
0.0277,-8.73E-12,0,18
0.0283,-8.73E-12,0,18
0.0289,-8.73E-12,0,18
0.0295,-8.73E-12,0,18
0.0301,-8.73E-12,0,18
0.0307,-8.73E-12,0,18
0.0313,-8.73E-12,0,18
0.0319,-8.73E-12,0,18
0.0325,-8.73E-12,0,18
0.0331,-8.73E-12,0,18
0.0337,-8.73E-12,0,18
0.0343,-8.73E-12,0,18
0.0349,-8.73E-12,0,18
0.0355,-8.73E-12,0,18
0.0361,-8.73E-12,0,18
0.0367,-8.73E-12,0,18
0.0373,-8.73E-12,0,18
0.0379,-8.73E-12,0,18
0.0385,-8.73E-12,0,18
0.0391,-8.73E-12,0,18
0.0397,-8.73E-12,0,18
0.0403,-8.73E-12,0,18
0.0409,-8.73E-12,0,18
0.0415,-8.73E-12,0,18
0.0421,-8.73E-12,0,18
0.0427,-8.73E-12,0,18
0.0433,-8.73E-12,0,18
0.0439,-8.73E-12,0,18
0.0445,-8.73E-12,0,18
0.0451,-8.73E-12,0,18
0.0457,-8.73E-12,0,18
0.0463,-8.73E-12,0,18
0.0469,-8.73E-12,0,18
0.0475,-8.73E-12,0,18
0.0481,-8.73E-12,0,18
0.0487,-8.73E-12,0,18
0.0493,-8.73E-12,0,18
4.99E-02,-8.73E-12,0,18
5.02E-02,4.81E-02,3.78,18
5.04E-02,0.04835,7.56,18
5.06E-02,0.04859,11.34,18
5.08E-02,0.04883,15.12,18
5.10E-02,0.04908,18.9,18
0.0512,0.04932,22.68,18
0.0515,0.04956,26.46,18
0.0517,0.0498,30.24,18
0.0519,0.05004,34.02,18
0.0521,0.05028,37.8,18
0.0523,0.05052,41.58,18
0.0525,0.05076,45.36,18
0.0527,0.05101,49.14,18
0.0529,0.05125,52.92,18
0.0531,0.05149,56.7,18
0.0533,0.05173,60.48,18
0.0536,0.05198,64.26,18
0.0538,0.05222,68.04,18
0.054,0.05246,71.82,18
0.0542,0.05271,75.6,18
0.0544,0.05296,79.38,18
0.0546,0.05321,83.16,18
0.0548,0.05346,86.94,18
0.055,0.05371,90.72,18
0.0552,0.05397,94.5,18
0.0554,0.05423,98.28,18
0.0557,0.0545,102.06,18
0.0559,0.05477,105.84,18
0.0561,0.05504,109.62,18
0.0563,0.05532,113.4,18
0.0565,0.05561,117.18,18
0.0567,0.0559,120.96,18
0.0569,0.0562,124.74,18
0.0571,0.0565,128.52,18
0.0573,0.05682,132.3,18
0.0575,0.05714,136.08,18
0.0578,0.05748,139.86,18
0.058,0.05782,143.64,18
0.0582,0.05817,147.42,18
0.0584,0.05854,151.2,18
0.0586,0.05891,154.98,18
0.0588,0.05929,158.76,18
0.059,0.05968,162.54,18
0.0592,0.06009,166.32,18
0.0594,0.0605,170.1,18
0.0596,0.06093,173.88,18
0.0599,0.06137,177.66,18
0.0601,0.06181,181.44,18
0.0603,0.06228,185.22,18
0.0605,0.06275,189,18
0.0607,0.06324,192.78,18
0.0609,0.06374,196.56,18
0.0611,0.06425,200.34,18
0.0613,0.06478,204.12,18
0.0615,0.06533,207.9,18
0.0617,0.06589,211.68,18
0.062,0.06647,215.46,18
0.0622,0.06706,219.24,18
0.0624,0.06767,223.02,18
0.0626,0.0683,226.8,18
0.0628,0.06895,230.58,18
0.063,0.06962,234.36,18
