Time,Current density,Voltage amplitude
3.00E-04,-3.95E-08,15.8
9.00E-04,-3.95E-08,15.8
0.0015,-3.95E-08,15.8
0.0021,-3.95E-08,15.8
0.0027,-3.95E-08,15.8
0.0033,-3.95E-08,15.8
0.0039,-3.95E-08,15.8
0.0045,-3.95E-08,15.8
0.0051,-3.95E-08,15.8
0.0057,-3.95E-08,15.8
0.0063,-3.95E-08,15.8
0.0069,-3.95E-08,15.8
0.0075,-3.95E-08,15.8
0.0081,-3.95E-08,15.8
0.0087,-3.95E-08,15.8
0.0093,-3.95E-08,15.8
0.0099,-3.95E-08,15.8
0.0105,-3.95E-08,15.8
0.0111,-3.95E-08,15.8
0.0117,-3.95E-08,15.8
0.0123,-3.95E-08,15.8
0.0129,-3.95E-08,15.8
0.0135,-3.95E-08,15.8
0.0141,-3.95E-08,15.8
0.0147,-3.95E-08,15.8
0.0153,-3.95E-08,15.8
0.0159,-3.95E-08,15.8
0.0165,-3.95E-08,15.8
0.0171,-3.95E-08,15.8
0.0177,-3.95E-08,15.8
0.0183,-3.95E-08,15.8
0.0189,-3.95E-08,15.8
0.0195,-3.95E-08,15.8
0.0201,-3.95E-08,15.8
0.0207,-3.95E-08,15.8
0.0213,-3.95E-08,15.8
0.0219,-3.95E-08,15.8
0.0225,-3.95E-08,15.8
0.0231,-3.95E-08,15.8
0.0237,-3.95E-08,15.8
0.0243,-3.95E-08,15.8
0.0249,-3.95E-08,15.8
0.0255,-3.95E-08,15.8
0.0261,-3.95E-08,15.8
0.0267,-3.95E-08,15.8
0.0273,-3.95E-08,15.8
0.0279,-3.95E-08,15.8
0.0285,-3.95E-08,15.8
0.0291,-3.95E-08,15.8
0.0297,-3.95E-08,15.8
0.0303,-3.95E-08,15.8
0.0309,-3.95E-08,15.8
0.0315,-3.95E-08,15.8
0.0321,-3.95E-08,15.8
0.0327,-3.95E-08,15.8
0.0333,-3.95E-08,15.8
0.0339,-3.95E-08,15.8
0.0345,-3.95E-08,15.8
0.0351,-3.95E-08,15.8
0.0357,-3.95E-08,15.8
0.0363,-3.95E-08,15.8
0.0369,-3.95E-08,15.8
0.0375,-3.95E-08,15.8
0.0381,-3.95E-08,15.8
0.0387,-3.95E-08,15.8
0.0393,-3.95E-08,15.8
0.0399,-3.95E-08,15.8
0.0405,-3.95E-08,15.8
0.0411,-3.95E-08,15.8
0.0417,-3.95E-08,15.8
0.0423,-3.95E-08,15.8
0.0429,-3.95E-08,15.8
0.0435,-3.95E-08,15.8
0.0441,-3.95E-08,15.8
0.0447,-3.95E-08,15.8
0.0453,-3.95E-08,15.8
0.0459,-3.95E-08,15.8
0.0465,-3.95E-08,15.8
0.0471,-3.95E-08,15.8
0.0477,-3.95E-08,15.8
