Width,Electron density,Negative density,Positive density,O- density,O2- density,CO3- density,CO4- density,CO2+ density,O2+ density,O density,O2 density,O3 density,CO density,C density,CO2e1 density,CO2va density,CO2vb density,CO2vc density,CO2v1a density,CO2v1 density,CO2v2 density,CO2v3 density,CO2v4 density,CO2v5 density,CO2v6 density,CO2v7 density,CO2v8 density,Electric field,Rise rate
3.00E-03,0.03391,3.98E-02,0.02442,0.19054,0.28387,0.02921,0.025,0.02342,0.10024,0.00861,0.01485,1.00086,0.00932,0.00501,0.00331,0.01956,0.02521,0.21082,0.06394,0.03898,0.02401,0.01503,0.0091,0.00641,0.00365,0.00168,0.00616,0.03374,20
6.00E-03,0.05587,6.23E-02,0.05072,0.22786,0.19963,0.03188,0.02794,0.04971,0.10024,0.01566,0.0287,1.00173,0.01702,0.00992,0.0065,0.03894,0.04538,0.34718,0.12172,0.0756,0.04668,0.02931,0.01777,0.01258,0.00716,0.00328,0.01179,0.03358,20
9.00E-03,0.07058,0.07747,0.07117,0.25561,0.14063,0.03427,0.03062,0.07017,0.1002,0.02154,0.04254,1.00259,0.02355,0.01482,0.00962,0.05816,0.06203,0.43962,0.17491,0.11018,0.06825,0.043,0.02614,0.01859,0.01059,0.00483,0.01715,0.03352,20
1.20E-02,0.08044,0.08778,0.08437,0.27483,0.09927,0.03656,0.03315,0.08336,0.10025,0.0267,0.05638,1.00346,0.02936,0.01971,0.01271,0.07719,0.076,0.50083,0.2242,0.14296,0.08889,0.05623,0.03428,0.02448,0.01395,0.00635,0.02233,0.03352,20
1.50E-02,0.08702,0.09482,0.09224,0.28772,0.07027,0.03885,0.03558,0.09124,0.10033,0.03143,0.07021,1.00433,0.03474,0.02459,0.01577,0.09605,0.08782,0.53955,0.2702,0.17407,0.10871,0.06904,0.04222,0.03028,0.01726,0.00784,0.02739,0.03352,20
0.018,0.0914,0.09966,0.09692,0.29626,0.04993,0.04118,0.038,0.09592,0.10034,0.03589,0.08403,1.00519,0.03985,0.02944,0.01882,0.11472,0.0979,0.56228,0.31343,0.20361,0.12778,0.08151,0.05001,0.036,0.02054,0.00932,0.03236,0.03353,20
0.021,0.09432,0.10306,0.09985,0.30197,0.03565,0.0436,0.04044,0.09885,0.10026,0.04019,0.09783,1.00605,0.04481,0.03428,0.02185,0.13321,0.10653,0.57406,0.35431,0.23163,0.14615,0.09364,0.05765,0.04165,0.0238,0.01078,0.03727,0.03353,20
0.024,0.09627,0.1055,0.10184,0.30587,0.02561,0.04612,0.04293,0.10084,0.10006,0.04438,0.11162,1.00691,0.04966,0.03909,0.02487,0.15149,0.11397,0.57888,0.39325,0.25817,0.16385,0.10548,0.06517,0.04724,0.02702,0.01224,0.04213,0.03351,20
0.027,0.09758,0.10733,0.10333,0.30863,0.01855,0.04877,0.0455,0.10233,0.0998,0.04852,0.1254,1.00777,0.05445,0.04388,0.02789,0.16958,0.1204,0.58001,0.43061,0.28327,0.18092,0.11704,0.07257,0.05279,0.03023,0.01368,0.04696,0.0335,20
0.03,0.09847,0.10876,0.10454,0.31066,0.01358,0.05154,0.04816,0.10354,0.09952,0.05261,0.13915,1.00863,0.0592,0.04863,0.03089,0.18746,0.12598,0.58023,0.4667,0.30695,0.19736,0.12834,0.07988,0.05828,0.03343,0.01512,0.05177,0.03347,20
0.033,0.09908,0.10994,0.1056,0.31223,0.0101,0.05447,0.05094,0.1046,0.0993,0.05668,0.15288,1.00948,0.06392,0.05335,0.03388,0.20514,0.13083,0.58172,0.50179,0.32923,0.21322,0.13938,0.08709,0.06374,0.0366,0.01656,0.05655,0.03345,20
0.036,0.09951,0.11097,0.10658,0.3135,0.00767,0.05755,0.05385,0.10558,0.09923,0.06073,0.16659,1.01033,0.06862,0.05804,0.03686,0.2226,0.13507,0.58517,0.536,0.35016,0.22849,0.15017,0.0942,0.06916,0.03977,0.01799,0.06133,0.03342,20
